"","week","subset","colony","replicate_id","treatment","week.","observer","light","video_number","unmarked_exits","marked_exits","total_exits","t2"
"1",1,1,1,"R1C2PM","pathogen",1,"1k","normal","Ants_0024",19,1,4,0
"2",1,1,1,"R1C2PM","pathogen",1,"1k","normal","Ants_0025",40,2,8.4,1
"3",1,1,1,"R1C2PM","pathogen",1,"1k","normal","Ants_0027",46,0,9.2,3
"4",1,1,1,"R1C2PM","pathogen",1,"1k","normal","Ants_0029",45,2,9.4,5
"5",1,1,1,"R1C2PM","pathogen",1,"1k","normal","Ants_0031",30,1,6.2,7
"6",1,1,1,"R1C2PM","pathogen",1,"1k","normal","Ants_0033",34,1,7,9
"7",1,1,1,"R1C2PM","pathogen",1,"1k","infrared","Ants_0035",41,2,8.6,11
"8",1,1,1,"R1C2PM","pathogen",1,"1k","infrared","Ants_0037",44,0,8.8,13
"9",1,1,1,"R1C2PM","pathogen",1,"1k","infrared","Ants_0039",43,0,8.6,15
"10",1,1,1,"R1C2PM","pathogen",1,"1k","infrared","Ants_0041",58,0,11.6,17
"11",1,1,1,"R1C2PM","pathogen",1,"1k","infrared","Ants_0043",52,0,10.4,19
"12",1,1,1,"R1C2PM","pathogen",1,"1k","infrared","Ants_0045",41,0,8.2,21
"13",1,1,1,"R1C2PM","pathogen",1,"1k","normal","Ants_0047",5,0,1,23
"14",1,1,1,"R1C2PM","pathogen",1,"1k","normal","Ants_0049",14,1,3,25
"15",1,1,1,"R1C2PM","pathogen",1,"1k","normal","Ants_0051",36,1,7.4,27
"16",1,1,1,"R1C2PM","pathogen",1,"1k","normal","Ants_0053",48,1,9.8,29
"17",1,1,1,"R1C2PM","pathogen",1,"1k","normal","Ants_0055",36,1,7.4,31
"18",1,1,1,"R1C2PM","pathogen",1,"1k","infrared","Ants_0057",35,0,7,33
"19",1,1,1,"R1C2PM","pathogen",1,"1k","infrared","Ants_0059",20,0,4,35
"20",1,1,1,"R1C2PM","pathogen",1,"1k","infrared","Ants_0061",17,0,3.4,37
"21",1,1,1,"R1C2PM","pathogen",1,"1k","infrared","Ants_0063",20,1,4.2,39
"22",1,1,1,"R1C2PM","pathogen",1,"1k","infrared","Ants_0065",26,1,5.4,41
"23",1,1,1,"R1C2PM","pathogen",1,"1k","infrared","Ants_0067",31,0,6.2,43
"24",1,1,1,"R1C2PM","pathogen",1,"1k","normal","Ants_0069",23,0,4.6,45
"25",1,1,1,"R1C2PM","pathogen",1,"1k","normal","Ants_0071",12,3,3,47
"26",1,1,1,"R1C2PM","pathogen",1,"1k","normal","Ants_0074",24,3,5.4,49
"27",1,1,1,"R1C2PM","pathogen",1,"1k","normal","Ants_0078",22,1,4.6,51
"28",1,1,1,"R1C2PM","pathogen",1,"1k","infrared","Ants_0081",27,0,5.4,53
"29",1,2,1,"R1C1SK","sham",1,"1m ","normal","Ants_0024",50,1,10.2,0
"30",1,2,1,"R1C1SK","sham",1,"1m ","normal ","Ants_0025",137,0,27.4,1
"31",1,2,1,"R1C1SK","sham",1,"1m ","normal ","Ants_0027",184,1,37,3
"32",1,2,1,"R1C1SK","sham",1,"1m ","normal ","Ants_0029",192,1,38.6,5
"33",1,2,1,"R1C1SK","sham",1,"1m ","normal ","Ants_0031",155,0,31,7
"34",1,2,1,"R1C1SK","sham",1,"1m ","infrared","Ants_0033",140,1,28.2,9
"35",1,2,1,"R1C1SK","sham",1,"1m ","infrared","Ants_0035",139,0,27.8,11
"36",1,2,1,"R1C1SK","sham",1,"1m ","infrared ","Ants_0037",106,0,21.2,13
"37",1,2,1,"R1C1SK","sham",1,"1m ","infrared","Ants_0039",100,0,20,15
"38",1,2,1,"R1C1SK","sham",1,"1m ","infrared","Ants_0041",96,0,19.2,17
"39",1,2,1,"R1C1SK","sham",1,"1m ","infrared","Ants_0043",89,0,17.8,19
"40",1,2,1,"R1C1SK","sham",1,"1m ","normal ","Ants_0045",60,1,12.2,21
"41",1,2,1,"R1C1SK","sham",1,"1m ","normal ","Ants_0047",0,1,0.2,23
"42",1,2,1,"R1C1SK","sham",1,"1m ","normal ","Ants_0049",19,3,4.4,25
"43",1,2,1,"R1C1SK","sham",1,"1m ","normal ","Ants_0051",45,3,9.6,27
"44",1,2,1,"R1C1SK","sham",1,"1m ","normal","Ants_0053",51,0,10.2,29
"45",1,2,1,"R1C1SK","sham",1,"1m ","normal","Ants_0055",37,1,7.6,31
"46",1,2,1,"R1C1SK","sham",1,"1m ","normal","Ants_0057",45,4,9.8,33
"47",1,2,1,"R1C1SK","sham",1,"1m ","infrared","Ants_0059",26,3,5.8,35
"48",1,2,1,"R1C1SK","sham",1,"1m ","infrared ","Ants_0061",31,2,6.6,37
"49",1,2,1,"R1C1SK","sham",1,"1m ","infrared ","Ants_0063",13,0,2.6,39
"50",1,2,1,"R1C1SK","sham",1,"1m ","infrared","Ants_0065",19,0,3.8,41
"51",1,2,1,"R1C1SK","sham",1,"1m ","infrared","Ants_0067",26,3,5.8,43
"52",1,2,1,"R1C1SK","sham",1,"1m ","infrared","Ants_0069",25,1,5.2,45
"53",1,2,1,"R1C1SK","sham",1,"1m ","normal","Ants_0071",18,0,3.6,47
"54",1,2,1,"R1C1SK","sham",1,"1m ","normal","Ants_0074",20,3,4.6,49
"55",1,2,1,"R1C1SK","sham",1,"1m ","normal ","Ants_0078",11,3,2.8,51
"56",1,2,1,"R1C1SK","sham",1,"1m ","normal","Ants_0081",19,0,3.8,53
"57",2,3,1,"R2C2SM","sham",2,"2k","normal","Ants_0025",52,0,10.4,0
"58",2,3,1,"R2C2SM","sham",2,"2k","normal","Ants_0026",60,0,12,1
"59",2,3,1,"R2C2SM","sham",2,"2k","normal","Ants_0047",26,0,5.2,23
"60",2,3,1,"R2C2SM","sham",2,"2k","normal","Ants_0049",45,0,9,25
"61",2,3,1,"R2C2SM","sham",2,"2k","normal","Ants_0051",37,1,7.6,27
"62",2,3,1,"R2C2SM","sham",2,"2k","normal","Ants_0053",36,1,7.4,29
"63",2,3,1,"R2C2SM","sham",2,"2k","normal","Ants_0055",19,1,4,31
"64",2,3,1,"R2C2SM","sham",2,"2k","infrared","Ants_0057",41,0,8.2,33
"65",2,3,1,"R2C2SM","sham",2,"2k","infrared","Ants_0059",40,0,8,35
"66",2,3,1,"R2C2SM","sham",2,"2k","infrared","Ants_0061",32,0,6.4,37
"67",2,3,1,"R2C2SM","sham",2,"2k","infrared","Ants_0063",45,0,9,39
"68",2,3,1,"R2C2SM","sham",2,"2k","infrared","Ants_0065",49,0,9.8,41
"69",2,3,1,"R2C2SM","sham",2,"2k","infrared","Ants_0067",23,0,4.6,43
"70",2,3,1,"R2C2SM","sham",2,"2k","normal","Ants_0069",20,0,4,45
"71",2,3,1,"R2C2SM","sham",2,"2k","normal","Ants_0071",19,1,4,47
"72",2,3,1,"R2C2SM","sham",2,"2k","normal","Ants_0074",30,1,6.2,49
"73",2,3,1,"R2C2SM","sham",2,"2k","normal","Ants_0078",32,2,6.8,51
"74",2,3,1,"R2C2SM","sham",2,"2k","infrared","Ants_0081",48,0,9.6,53
"75",2,4,1,"R2C1PK","pathogen",2,"2m","normal","Ants_0025",55,2,11.4,0
"76",2,4,1,"R2C1PK","pathogen",2,"2m","normal ","Ants_0026",58,2,12,1
"77",2,4,1,"R2C1PK","pathogen",2,"2m","normal ","Ants_0047",14,0,2.8,23
"78",2,4,1,"R2C1PK","pathogen",2,"2m","normal","Ants_0049",49,1,10,25
"79",2,4,1,"R2C1PK","pathogen",2,"2m","normal","Ants_0051",41,0,8.2,27
"80",2,4,1,"R2C1PK","pathogen",2,"2m","normal ","Ants_0053",22,2,4.8,29
"81",2,4,1,"R2C1PK","pathogen",2,"2m","normal","Ants_0055",31,1,6.4,31
"82",2,4,1,"R2C1PK","pathogen",2,"2m","normal","Ants_0057",21,1,4.4,33
"83",2,4,1,"R2C1PK","pathogen",2,"2m","infrared","Ants_0059",47,0,9.4,35
"84",2,4,1,"R2C1PK","pathogen",2,"2m","infrared ","Ants_0061",35,0,7,37
"85",2,4,1,"R2C1PK","pathogen",2,"2m","infrared ","Ants_0063",61,1,12.4,39
"86",2,4,1,"R2C1PK","pathogen",2,"2m","infrared ","Ants_0065",16,0,3.2,41
"87",2,4,1,"R2C1PK","pathogen",2,"2m","normal","Ants_0071",23,1,4.8,47
"88",2,4,1,"R2C1PK","pathogen",2,"2m","normal","Ants_0074",18,1,3.8,49
"89",2,4,1,"R2C1PK","pathogen",2,"2m","normal ","Ants_0078",23,0,4.6,51
"90",2,4,1,"R2C1PK","pathogen",2,"2m","infrared","Ants_0081",32,0,6.4,53
"91",3,5,2,"R3C2PM","pathogen",3,"3k","normal","Ants_0025",36,3,7.8,0
"92",3,5,2,"R3C2PM","pathogen",3,"3k","normal","Ants_0026",60,2,12.4,1
"93",3,5,2,"R3C2PM","pathogen",3,"3k","normal","Ants_0028",67,2,13.8,3
"94",3,5,2,"R3C2PM","pathogen",3,"3k","normal","Ants_0030",57,2,11.8,5
"95",3,5,2,"R3C2PM","pathogen",3,"3k","normal","Ants_0032",63,0,12.6,7
"96",3,5,2,"R3C2PM","pathogen",3,"3k","infrared","Ants_0034",66,0,13.2,9
"97",3,5,2,"R3C2PM","pathogen",3,"3k","infrared","Ants_0036",73,0,14.6,11
"98",3,5,2,"R3C2PM","pathogen",3,"3k","infrared","Ants_0038",78,0,15.6,13
"99",3,5,2,"R3C2PM","pathogen",3,"3k","infrared","Ants_0040",88,0,17.6,15
"100",3,5,2,"R3C2PM","pathogen",3,"3k","infrared","Ants_0042",93,0,18.6,17
"101",3,5,2,"R3C2PM","pathogen",3,"3k","infrared","Ants_0044",67,0,13.4,19
"102",3,5,2,"R3C2PM","pathogen",3,"3k","normal","Ants_0046",52,1,10.6,21
"103",3,5,2,"R3C2PM","pathogen",3,"3k","normal","Ants_0048",25,0,5,23
"104",3,5,2,"R3C2PM","pathogen",3,"3k","normal","Ants_0050",23,0,4.6,25
"105",3,5,2,"R3C2PM","pathogen",3,"3k","normal","Ants_0052",24,2,5.2,27
"106",3,5,2,"R3C2PM","pathogen",3,"3k","normal","Ants_0054",25,0,5,29
"107",3,5,2,"R3C2PM","pathogen",3,"3k","normal","Ants_0056",39,1,8,31
"108",3,5,2,"R3C2PM","pathogen",3,"3k","infrared","Ants_0058",22,0,4.4,33
"109",3,5,2,"R3C2PM","pathogen",3,"3k","infrared","Ants_0060",62,1,12.6,35
"110",3,5,2,"R3C2PM","pathogen",3,"3k","infrared","Ants_0062",31,3,6.8,37
"111",3,5,2,"R3C2PM","pathogen",3,"3k","infrared","Ants_0064",36,0,7.2,39
"112",3,5,2,"R3C2PM","pathogen",3,"3k","infrared","Ants_0066",41,1,8.4,41
"113",3,5,2,"R3C2PM","pathogen",3,"3k","infrared","Ants_0068",23,0,4.6,43
"114",3,5,2,"R3C2PM","pathogen",3,"3k","normal","Ants_0070",26,3,5.8,45
"115",3,5,2,"R3C2PM","pathogen",3,"3k","normal","Ants_0072",10,2,2.4,47
"116",3,5,2,"R3C2PM","pathogen",3,"3k","normal","Ants_0075",18,1,3.8,49
"117",3,5,2,"R3C2PM","pathogen",3,"3k","normal","Ants_0079",16,0,3.2,51
"118",3,5,2,"R3C2PM","pathogen",3,"3k","infrared","Ants_0082",27,1,5.6,53
"119",3,6,2,"R3C1SK","sham",3,"3m","normal","Ants_0025",24,0,4.8,0
"120",3,6,2,"R3C1SK","sham",3,"3m","normal ","Ants_0026",51,0,10.2,1
"121",3,6,2,"R3C1SK","sham",3,"3m","normal ","Ants_0028",60,0,12,3
"122",3,6,2,"R3C1SK","sham",3,"3m","normal","Ants_0030",59,1,12,5
"123",3,6,2,"R3C1SK","sham",3,"3m","normal","Ants_0032",33,0,6.6,7
"124",3,6,2,"R3C1SK","sham",3,"3m","normal","Ants_0034",32,0,6.4,9
"125",3,6,2,"R3C1SK","sham",3,"3m","infrared","Ants_0036",51,0,10.2,11
"126",3,6,2,"R3C1SK","sham",3,"3m","infrared","Ants_0038",51,0,10.2,13
"127",3,6,2,"R3C1SK","sham",3,"3m","infrared","Ants_0040",44,0,8.8,15
"128",3,6,2,"R3C1SK","sham",3,"3m","infrared","Ants_0042",24,0,4.8,17
"129",3,6,2,"R3C1SK","sham",3,"3m","infrared","Ants_0044",33,0,6.6,19
"130",3,6,2,"R3C1SK","sham",3,"3m","infrared","Ants_0046",53,0,10.6,21
"131",3,6,2,"R3C1SK","sham",3,"3m","normal","Ants_0048",28,0,5.6,23
"132",3,6,2,"R3C1SK","sham",3,"3m","normal","Ants_0050",50,0,10,25
"133",3,6,2,"R3C1SK","sham",3,"3m","normal","Ants_0052",36,1,7.4,27
"134",3,6,2,"R3C1SK","sham",3,"3m","normal","Ants_0054",26,0,5.2,29
"135",3,6,2,"R3C1SK","sham",3,"3m","normal","Ants_0056",24,1,5,31
"136",3,6,2,"R3C1SK","sham",3,"3m","normal ","Ants_0058",27,0,5.4,33
"137",3,6,2,"R3C1SK","sham",3,"3m","infrared ","Ants_0060",25,0,5,35
"138",3,6,2,"R3C1SK","sham",3,"3m","infrared ","Ants_0062",17,0,3.4,37
"139",3,6,2,"R3C1SK","sham",3,"3m","infrared ","Ants_0064",17,0,3.4,39
"140",3,6,2,"R3C1SK","sham",3,"3m","infrared ","Ants_0066",18,1,3.8,41
"141",3,6,2,"R3C1SK","sham",3,"3m","infrared ","Ants_0068",26,0,5.2,43
"142",3,6,2,"R3C1SK","sham",3,"3m","infrared","Ants_0070",18,1,3.8,45
"143",3,6,2,"R3C1SK","sham",3,"3m","normal","Ants_0072",9,2,2.2,47
"144",3,6,2,"R3C1SK","sham",3,"3m","normal","Ants_0075",13,2,3,49
"145",3,6,2,"R3C1SK","sham",3,"3m","normal","Ants_0079",5,0,1,51
"146",3,6,2,"R3C1SK","sham",3,"3m","infrared ","Ants_0082",3,0,0.6,53
"147",4,7,2,"R4C2SM","sham",4,"4k","normal","Ants_0025",30,0,6,0
"148",4,7,2,"R4C2SM","sham",4,"4k","normal","Ants_0026",26,0,5.2,1
"149",4,7,2,"R4C2SM","sham",4,"4k","normal","Ants_0028",34,0,6.8,3
"150",4,7,2,"R4C2SM","sham",4,"4k","normal","Ants_0030",33,0,6.6,5
"151",4,7,2,"R4C2SM","sham",4,"4k","normal","Ants_0032",39,0,7.8,21
"152",4,7,2,"R4C2SM","sham",4,"4k","normal","Ants_0048",0,0,0,23
"153",4,7,2,"R4C2SM","sham",4,"4k","normal","Ants_0050",9,1,2,25
"154",4,7,2,"R4C2SM","sham",4,"4k","normal","Ants_0052",9,1,2,27
"155",4,7,2,"R4C2SM","sham",4,"4k","normal","Ants_0054",8,0,1.6,29
"156",4,7,2,"R4C2SM","sham",4,"4k","normal","Ants_0056",12,1,2.6,31
"157",4,7,2,"R4C2SM","sham",4,"4k","infrared","Ants_0058",13,1,2.8,33
"158",4,7,2,"R4C2SM","sham",4,"4k","infrared","Ants_0060",15,0,3,35
"159",4,7,2,"R4C2SM","sham",4,"4k","infrared","Ants_0062",14,0,2.8,37
"160",4,7,2,"R4C2SM","sham",4,"4k","infrared","Ants_0064",26,0,5.2,39
"161",4,7,2,"R4C2SM","sham",4,"4k","infrared","Ants_0066",16,0,3.2,41
"162",4,7,2,"R4C2SM","sham",4,"4k","infrared","Ants_0068",24,1,5,43
"163",4,7,2,"R4C2SM","sham",4,"4k","normal","Ants_0070",10,0,2,45
"164",4,7,2,"R4C2SM","sham",4,"4k","normal","Ants_0072",1,0,0.2,47
"165",4,7,2,"R4C2SM","sham",4,"4k","normal","Ants_0075",5,0,1,49
"166",4,7,2,"R4C2SM","sham",4,"4k","normal","Ants_0079",3,0,0.6,51
"167",4,7,2,"R4C2SM","sham",4,"4k","infrared","Ants_0082",14,3,3.4,53
"168",4,8,2,"R4C1PK","pathogen",4,"4m","normal ","Ants_0025",50,5,11,0
"169",4,8,2,"R4C1PK","pathogen",4,"4m","normal","Ants_0026",87,1,17.6,1
"170",4,8,2,"R4C1PK","pathogen",4,"4m","normal","Ants_0028",93,11,20.8,3
"171",4,8,2,"R4C1PK","pathogen",4,"4m","normal","Ants_0030",110,9,23.8,5
"172",4,8,2,"R4C1PK","pathogen",4,"4m","normal","Ants_0032",72,8,16,21
"173",4,8,2,"R4C1PK","pathogen",4,"4m","normal","Ants_0050",19,0,3.8,25
"174",4,8,2,"R4C1PK","pathogen",4,"4m","normal","Ants_0052",9,0,1.8,27
"175",4,8,2,"R4C1PK","pathogen",4,"4m","normal","Ants_0054",6,0,1.2,29
"176",4,8,2,"R4C1PK","pathogen",4,"4m","normal","Ants_0056",9,1,2,31
"177",4,8,2,"R4C1PK","pathogen",4,"4m","normal","Ants_0058",14,0,2.8,33
"178",4,8,2,"R4C1PK","pathogen",4,"4m","infrared ","Ants_0060",30,1,6.2,35
"179",4,8,2,"R4C1PK","pathogen",4,"4m","infrared ","Ants_0062",21,0,4.2,37
"180",4,8,2,"R4C1PK","pathogen",4,"4m","infrared ","Ants_0064",27,2,5.8,39
"181",4,8,2,"R4C1PK","pathogen",4,"4m","infrared ","Ants_0066",8,0,1.6,41
"182",4,8,2,"R4C1PK","pathogen",4,"4m","infrared","Ants_0068",7,3,2,43
"183",4,8,2,"R4C1PK","pathogen",4,"4m","infrared ","Ants_0070",15,2,3.4,45
"184",4,8,2,"R4C1PK","pathogen",4,"4m","normal ","Ants_0072",1,2,0.6,47
"185",4,8,2,"R4C1PK","pathogen",4,"4m","normal ","Ants_0075",3,0,0.6,49
"186",4,8,2,"R4C1PK","pathogen",4,"4m","infrared ","Ants_0079",3,0,0.6,51
"187",4,8,2,"R4C1PK","pathogen",4,"4m","infrared ","Ants_0082",2,0,0.4,53
"188",5,9,3,"R5C2PM","pathogen",5,"5k","normal","Ants_0025",43,1,8.8,0
"189",5,9,3,"R5C2PM","pathogen",5,"5k","normal","Ants_0026",61,3,12.8,1
"190",5,9,3,"R5C2PM","pathogen",5,"5k","normal","Ants_0028",91,2,18.6,3
"191",5,9,3,"R5C2PM","pathogen",5,"5k","normal","Ants_0030",80,2,16.4,5
"192",5,9,3,"R5C2PM","pathogen",5,"5k","normal","Ants_0032",76,3,15.8,7
"193",5,9,3,"R5C2PM","pathogen",5,"5k","infrared","Ants_0034",53,1,10.8,9
"194",5,9,3,"R5C2PM","pathogen",5,"5k","infrared","Ants_0036",28,1,5.8,11
"195",5,9,3,"R5C2PM","pathogen",5,"5k","infrared","Ants_0038",31,0,6.2,13
"196",5,9,3,"R5C2PM","pathogen",5,"5k","infrared","Ants_0040",41,0,8.2,15
"197",5,9,3,"R5C2PM","pathogen",5,"5k","infrared","Ants_0042",31,0,6.2,17
"198",5,9,3,"R5C2PM","pathogen",5,"5k","infrared","Ants_0044",33,0,6.6,19
"199",5,9,3,"R5C2PM","pathogen",5,"5k","normal","Ants_0046",20,3,4.6,21
"200",5,9,3,"R5C2PM","pathogen",5,"5k","normal","Ants_0048",26,1,5.4,23
"201",5,9,3,"R5C2PM","pathogen",5,"5k","normal","Ants_0050",22,3,5,25
"202",5,9,3,"R5C2PM","pathogen",5,"5k","normal","Ants_0072",27,3,6,47
"203",5,9,3,"R5C2PM","pathogen",5,"5k","normal","Ants_0075",12,1,2.6,49
"204",5,9,3,"R5C2PM","pathogen",5,"5k","normal","Ants_0079",16,2,3.6,51
"205",5,9,3,"R5C2PM","pathogen",5,"5k","infrared","Ants_0082",15,0,3,53
"220",5,10,3,"R5C1SK","sham",5,"5m","normal","Ants_0026",85,5,18,1
"221",5,10,3,"R5C1SK","sham",5,"5m","normal","Ants_0028",98,2,20,3
"222",5,10,3,"R5C1SK","sham",5,"5m","normal","Ants_0030",105,4,21.8,5
"223",5,10,3,"R5C1SK","sham",5,"5m","normal","Ants_0032",94,7,20.2,7
"224",5,10,3,"R5C1SK","sham",5,"5m","infrared","Ants_0034",64,5,13.8,9
"225",5,10,3,"R5C1SK","sham",5,"5m","infrared","Ants_0036",57,2,11.8,11
"226",5,10,3,"R5C1SK","sham",5,"5m","infrared","Ants_0038",51,3,10.8,13
"227",5,10,3,"R5C1SK","sham",5,"5m","infrared","Ants_0040",53,0,10.6,15
"228",5,10,3,"R5C1SK","sham",5,"5m","infrared","Ants_0042",41,2,8.6,17
"229",5,10,3,"R5C1SK","sham",5,"5m","infrared","Ants_0044",46,3,9.8,19
"230",5,10,3,"R5C1SK","sham",5,"5m","normal","Ants_0046",46,0,9.2,21
"231",5,10,3,"R5C1SK","sham",5,"5m","normal","Ants_0048",21,0,4.2,23
"232",5,10,3,"R5C1SK","sham",5,"5m","normal","Ants_0050",55,10,13,25
"233",5,10,3,"R5C1SK","sham",5,"5m","normal","Ants_0052",47,3,10,27
"234",5,10,3,"R5C1SK","sham",5,"5m","normal","Ants_0054",47,3,10,29
"235",5,10,3,"R5C1SK","sham",5,"5m","normal","Ants_0056",44,3,9.4,31
"236",5,10,3,"R5C1SK","sham",5,"5m","infrared","Ants_0058",31,0,6.2,33
"237",5,10,3,"R5C1SK","sham",5,"5m","infrared","Ants_0060",17,0,3.4,35
"238",5,10,3,"R5C1SK","sham",5,"5m","infrared","Ants_0062",20,1,4.2,37
